GeneWeaver ID	Entrez	Ensembl Gene	Ensembl Protein	Ensembl Transcript	Unigene	Unannotated	MGI	HGNC	RGD	ZFIN	FlyBase	Wormbase	SGD	miRBase	CGNC
70001	9984	ENSG00000079134	-	-	Hs.647587|Hs.75981|Hs.371881|Hs.299782|Hs.712543|Hs.80155|Hs.592342|Hs.99930|Hs.265703|Hs.404769|Hs.346642|Hs.351458|Hs.1540|Hs.432366|Hs.259399|Hs.151538|Hs.464416|Hs.535531|Hs.654460|Hs.112826|Hs.652317|Hs.699172	-	-	HGNC:19070	-	-	-	-	-	-	-
70032	928	ENSG00000010278	-	-	Hs.273506|Hs.134751|Hs.111515|Hs.1244|Hs.130989|Hs.51247|Hs.114286|Hs.230559|Hs.5853|Hs.99999|Hs.83254|Hs.289711|Hs.265898|Hs.306745|Hs.117582|Hs.31146|Hs.547626|Hs.553024|Hs.387579	-	-	HGNC:1709	-	-	-	-	-	-	-
70045	6385	ENSG00000124145	-	-	Hs.149180|Hs.303687|Hs.357925|Hs.82239|Hs.273082|Hs.504789|Hs.89400|Hs.326823|Hs.451706|Hs.408643|Hs.15423|Hs.251374|Hs.448847|Hs.504792|Hs.101823|Hs.263423|Hs.63720|Hs.133364|Hs.75|Hs.289531|Hs.339974|Hs.252189|Hs.72082|Hs.632267	-	-	HGNC:10661	-	-	-	-	-	-	-
70102	51599	ENSG00000105699	-	-	Hs.56977|Hs.361379|Hs.312129|Hs.5292|Hs.95697|Hs.279006|Hs.30603|Hs.21040|Hs.726612|Hs.91337|Hs.410853|Hs.80629|Hs.466507|Hs.114946	-	-	HGNC:29572	-	-	-	-	-	-	-
70289	2812	ENSG00000203618	-	-	Hs.454|Hs.517410|Hs.89453|Hs.178382|Hs.512000|Hs.283743|Hs.3847	-	-	HGNC:4440	-	-	-	-	-	-	-
70305	26509	ENSG00000138119	-	-	Hs.56168|Hs.174910|Hs.523156|Hs.234680|Hs.423106|Hs.43087|Hs.655278|Hs.213191|Hs.94253|Hs.32227|Hs.362731|Hs.8076|Hs.602086|Hs.80452|Hs.107628|Hs.376429|Hs.555505	-	-	HGNC:3656	-	-	-	-	-	-	-
70515	2152	ENSG00000117525	-	-	Hs.364202|Hs.62192|Hs.54625|Hs.455129|Hs.536756|Hs.1102|Hs.253360|Hs.556944|Hs.572969|Hs.52234|Hs.253114|Hs.549817|Hs.79009|Hs.73976|Hs.73977|Hs.24868	-	-	HGNC:3541	-	-	-	-	-	-	-
70519	10551	ENSG00000106541	-	-	Hs.134227|Hs.256309|Hs.530009|Hs.87941|Hs.411004|Hs.103486|Hs.63231|Hs.62954|Hs.161554|Hs.549709|Hs.424389|Hs.293380|Hs.374518|Hs.25615|Hs.412581|Hs.122576|Hs.413945|Hs.91011|Hs.267112|Hs.226391	-	-	HGNC:328	-	-	-	-	-	-	-
70662	23002	ENSG00000100592	-	-	Hs.112262|Hs.153140|Hs.648502|Hs.101088|Hs.595788|Hs.71785|Hs.4807|Hs.724011|Hs.699947|Hs.69362|Hs.197751|Hs.153858|Hs.186257|Hs.731788|Hs.61235|Hs.151942|Hs.90371|Hs.740764|Hs.25649|Hs.204200|Hs.16246|Hs.653651|Hs.78488|Hs.416209|Hs.574538|Hs.184541|Hs.694030|Hs.219791|Hs.165896|Hs.594603|Hs.648594|Hs.356537|Hs.88519|Hs.716797|Hs.417656|Hs.102640|Hs.727657|Hs.440952|Hs.102742|Hs.19156	-	-	HGNC:18142	-	-	-	-	-	-	-
71010	323	ENSG00000163697	-	-	Hs.479602|Hs.15740|Hs.651441|Hs.128487|Hs.24463|Hs.24957|Hs.78299|Hs.98549|Hs.47523|Hs.536919|Hs.63227|Hs.696751|Hs.183598|Hs.324125|Hs.286133|Hs.175098|Hs.281743|Hs.914|Hs.643822|Hs.119327|Hs.8911|Hs.188774|Hs.268117|Hs.65778|Hs.697321|Hs.227696|Hs.168292|Hs.644011|Hs.336941|Hs.707044|Hs.163545|Hs.247464|Hs.174060|Hs.653483|Hs.720643|Hs.507486|Hs.27434|Hs.479612|Hs.117986|Hs.137087|Hs.586154|Hs.306712|Hs.653320|Hs.165982|Hs.598071	-	-	HGNC:582	-	-	-	-	-	-	-
71049	2202	ENSG00000115380	-	-	Hs.24187|Hs.82798|Hs.61270|Hs.2383|Hs.595847|Hs.588975|Hs.76224|Hs.8766|Hs.538830|Hs.218531|Hs.196711|Hs.442880	-	-	HGNC:3218	-	-	-	-	-	-	-
71601	196	ENSG00000106546	-	-	Hs.8913|Hs.100957|Hs.171189|Hs.153710|Hs.241|Hs.101612|Hs.57903|Hs.150596|Hs.706077|Hs.117828|Hs.558085|Hs.170087|Hs.542088|Hs.510512|Hs.79884|Hs.37180|Hs.113730|Hs.260693|Hs.362997|Hs.520685|Hs.646150|Hs.555133|Hs.559550|Hs.529578|Hs.551321	-	-	HGNC:348	-	-	-	-	-	-	-
71641	27063	ENSG00000148677	-	-	Hs.105679|Hs.349386|Hs.80562|Hs.448589|Hs.594901|Hs.644351|Hs.286030|Hs.31432|Hs.152360|Hs.281621|Hs.2400|Hs.74019	-	-	HGNC:15819	-	-	-	-	-	-	-
71693	4091	ENSG00000137834	-	-	Hs.111932|Hs.153863|Hs.56929|Hs.424275|Hs.23341|Hs.424198|Hs.28745|Hs.106305|Hs.364599|Hs.79557|Hs.127633|Hs.46840|Hs.22199|Hs.82514|Hs.40548|Hs.102632	-	-	HGNC:6772	-	-	-	-	-	-	-
71694	4610	ENSG00000116990	-	-	Hs.99665|Hs.437922|Hs.365589|Hs.348879|Hs.80727|Hs.96193|Hs.28364|Hs.495429|Hs.37037|Hs.92137|Hs.255332|Hs.154823|Hs.558357|Hs.169252	-	-	HGNC:7555	-	-	-	-	-	-	-
71737	1032	ENSG00000129355	-	-	Hs.720440|Hs.151958|Hs.725326|Hs.2405|Hs.29656|Hs.727679|Hs.435051	-	-	HGNC:1790	-	-	-	-	-	-	-
72204	7464	ENSG00000106789	-	-	Hs.219587|Hs.575630|Hs.89986|Hs.8134|Hs.183420|Hs.503813|Hs.113094|Hs.65498|Hs.105608|Hs.439725|Hs.271572|Hs.44396|Hs.536871|Hs.262558|Hs.81287|Hs.37601|Hs.32607	-	-	HGNC:2255	-	-	-	-	-	-	-
72304	1474	ENSG00000175315	-	-	Hs.83054|Hs.83393|Hs.425417|Hs.50937|Hs.139389	-	-	HGNC:2478	-	-	-	-	-	-	-
72507	2011	ENSG00000072518	-	-	Hs.22171|Hs.79284|Hs.215406|Hs.157199|Hs.524943|Hs.168233|Hs.502809|Hs.567261|Hs.123437|Hs.407423|Hs.389885|Hs.458205|Hs.250140|Hs.20978|Hs.106345|Hs.502794|Hs.355878|Hs.72328|Hs.349569|Hs.530467	-	-	HGNC:3332	-	-	-	-	-	-	-
72589	1266	ENSG00000117519	-	-	Hs.591437|Hs.483454|Hs.75816|Hs.411953|Hs.19541|Hs.651232|Hs.219137|Hs.78766|Hs.5318|Hs.706617|Hs.375005|Hs.695997|Hs.74774|Hs.700591|Hs.454662|Hs.706780|Hs.68963|Hs.194662|Hs.3759	-	-	HGNC:2157	-	-	-	-	-	-	-
72794	10403	ENSG00000080986	-	-	Hs.343354|Hs.414407|Hs.405036|Hs.162780|Hs.58169|Hs.419113|Hs.414391|Hs.417986|Hs.16581	-	-	HGNC:16909	-	-	-	-	-	-	-
72861	3606	ENSG00000150782	-	-	Hs.396302|Hs.83077|Hs.57702|Hs.416014|Hs.598961	-	-	HGNC:5986	-	-	-	-	-	-	-
72973	4052	ENSG00000049323	-	-	Hs.447996|Hs.619315|Hs.151716|Hs.2024|Hs.140022|Hs.713533|Hs.83514|Hs.433674|Hs.30461|Hs.706751|Hs.119574|Hs.18456|Hs.560580|Hs.173842|Hs.82574|Hs.455672|Hs.62724|Hs.586665|Hs.81082|Hs.61355|Hs.61356|Hs.56284|Hs.520600|Hs.437389|Hs.654497|Hs.241257|Hs.526204	-	-	HGNC:6714	-	-	-	-	-	-	-
73335	1308	ENSG00000065618	-	-	Hs.357360|Hs.619|Hs.41071|Hs.170092|Hs.411065|Hs.411064|Hs.586187|Hs.194926|Hs.411746|Hs.89480|Hs.215350|Hs.132476|Hs.68873|Hs.262829|Hs.117938|Hs.431237|Hs.414438|Hs.732773	-	-	HGNC:2194	-	-	-	-	-	-	-
73355	3429	ENSG00000275214|ENSG00000165949	-	-	Hs.183806|Hs.532634|Hs.175031|Hs.278613|Hs.200572|Hs.238002|Hs.127952|Hs.613466|Hs.8849|Hs.2867|Hs.497554|Hs.76020|Hs.111512	-	-	HGNC:5397	-	-	-	-	-	-	-
73385	4217	ENSG00000197442	-	-	Hs.21607|Hs.59762|Hs.111239|Hs.316784|Hs.648075|Hs.84149|Hs.186486|Hs.151988|Hs.486567|Hs.486556	-	-	HGNC:6857	-	-	-	-	-	-	-
73432	6337	ENSG00000111319	-	-	Hs.707975|Hs.242985|Hs.130989|Hs.148493|Hs.199021|Hs.279594|Hs.301235|Hs.705365|Hs.117582|Hs.695916|Hs.182167|Hs.446415|Hs.158502|Hs.56957|Hs.279525|Hs.2794|Hs.198095|Hs.1116|Hs.256309|Hs.591047	-	-	HGNC:10599	-	-	-	-	-	-	-
73540	4680	ENSG00000086548	-	-	Hs.436718|Hs.466848|Hs.76574|Hs.61289|Hs.173609|Hs.344110|Hs.282847|Hs.466860|Hs.225932|Hs.417119|Hs.220529|Hs.572976|Hs.336423|Hs.51085|Hs.73848|Hs.452027|Hs.1245|Hs.466814	-	-	HGNC:1818	-	-	-	-	-	-	-
73771	10524	ENSG00000172977	-	-	Hs.2600|Hs.288141|Hs.528299|Hs.6364|Hs.397010|Hs.122481|Hs.433748|Hs.75158	-	-	HGNC:5275	-	-	-	-	-	-	-
73825	29899	ENSG00000121957	-	-	Hs.168397|Hs.44043|Hs.659320|Hs.154708|Hs.427319|Hs.151499|Hs.44362|Hs.49202|Hs.82769|Hs.567427|Hs.262495|Hs.93121|Hs.552587|Hs.610653|Hs.151952|Hs.171714|Hs.183873|Hs.467416|Hs.170780|Hs.489353|Hs.584901|Hs.126947|Hs.23894|Hs.278338|Hs.169025|Hs.256822	-	-	HGNC:29501	-	-	-	-	-	-	-
